District,Mandal,Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
Adilabad,Bheempoor,01-10-2019,0,23.7,33.4,66.9,97.7,0,2.6
Adilabad,Jainad,01-10-2019,0,23.6,32.55,68.95,97.1,0.1,10.1
Adilabad,Bela,01-10-2019,0,24.2,33.2,74.45,97.25,0.1,13.6
Adilabad,Gadiguda,01-10-2019,0,23.7,32.6,84.2,99.9,0,8.9
Adilabad,Narnoor,01-10-2019,0,23,31,76.2,96.2,0,8.9
Adilabad,Inderavelly,01-10-2019,0,23.2,33.4,66.2,97.3,0,2.3
Adilabad,Gudihathnur,01-10-2019,0,22.1,33.3,58.8,96.2,0,14.8
Adilabad,Adilabad Rural,01-10-2019,0,24.6,35.2,65.8,96.9,0,13.9
Adilabad,Adilabad Urban,01-10-2019,0,23.95,32.6,65.25,96.85,0.2,2.1
Adilabad,Mavala,01-10-2019,0,22.4,31.7,61.8,94,0,13.9
Adilabad,Tamsi,01-10-2019,0,22.9,35,60.9,99,0,0.1
Adilabad,Talamadugu,01-10-2019,0.2,23.15,32.15,68.4,93.65,0,14.9
Adilabad,Bazarhathnoor,01-10-2019,0,22.4,31.5,70.2,100,0,24.9
Adilabad,Boath,01-10-2019,0,22.45,31.65,64.75,93.25,0.1,24.9
Adilabad,Neradigonda,01-10-2019,0,22.6,33.9,65.9,99.7,0.1,2.2
Adilabad,Ichoda,01-10-2019,0,22.4,32.6,68.9,99.9,0,14.8
Adilabad,Sirikonda,01-10-2019,0,22.6,31.8,68.5,98.7,0,2.3
Adilabad,Utnur,01-10-2019,0,22.3,29.4,76.2,98.1,0,1.9
Komaram Bheem-Asifabad,Jainoor,01-10-2019,0,23.1,29.4,76.2,92.7,0.1,3.1
Komaram Bheem-Asifabad,Sirpur_U,01-10-2019,0,22.3,28.7,80.5,95.3,0.2,2.5
Komaram Bheem-Asifabad,Lingapur,01-10-2019,0,23.1,29.9,77.7,87.7,0,10.8
Komaram Bheem-Asifabad,Tiryani,01-10-2019,0,22.7,31.4,78.1,97.9,0.1,5.6
Komaram Bheem-Asifabad,Rebbana,01-10-2019,0,24,32.9,74.2,95.55,0,9.2
Komaram Bheem-Asifabad,Asifabad,01-10-2019,0,22.9,32.9,75.9,99.7,0,10.7
