,District,Density,Yield,Latitude,DistrictId
0,Adilabad,10.0,1741.0,19.6641,0
1,Adilabad,11.0,1735.3,19.6641,0
2,Adilabad,7.0,1742.2,19.6641,0
3,Adilabad,8.0,1742.5,19.6641,0
4,Adilabad,9.0,1740.8,19.6641,0
5,Bhadradri-Kothagudem,10.0,1816.4,17.5543,1
6,Bhadradri-Kothagudem,11.0,1815.5,17.5543,1
7,Bhadradri-Kothagudem,7.0,1822.3,17.5543,1
8,Bhadradri-Kothagudem,8.0,1824.3,17.5543,1
9,Bhadradri-Kothagudem,9.0,1816.2,17.5543,1
10,Hyderabad,10.0,2292.2,17.385,2
11,Hyderabad,11.0,2292.6,17.385,2
12,Hyderabad,7.0,2302.8,17.385,2
13,Hyderabad,8.0,2293.2,17.385,2
14,Hyderabad,9.0,2305.1,17.385,2
15,Jagtial,10.0,1917.1,18.794905,3
16,Jagtial,11.0,1915.1,18.794905,3
17,Jagtial,7.0,1916.7,18.794905,3
18,Jagtial,8.0,1908.6,18.794905,3
19,Jagtial,9.0,1917.2,18.794905,3
20,Jangaon,10.0,2267.6,17.7227,4
21,Jangaon,11.0,2267.3,17.7227,4
22,Jangaon,7.0,2281.0,17.7227,4
23,Jangaon,8.0,2275.3,17.7227,4
24,Jangaon,9.0,2264.2,17.7227,4
25,Jayashankar-Bhupalpally,10.0,1769.3,18.4293,5
26,Jayashankar-Bhupalpally,11.0,1757.9,18.4293,5
27,Jayashankar-Bhupalpally,7.0,1775.2,18.4293,5
28,Jayashankar-Bhupalpally,8.0,1765.0,18.4293,5
29,Jayashankar-Bhupalpally,9.0,1766.9,18.4293,5
30,Jogulamba-Gadwal,10.0,2557.8,16.23,6
31,Jogulamba-Gadwal,11.0,2555.5,16.23,6
32,Jogulamba-Gadwal,7.0,2712.2,16.23,6
33,Jogulamba-Gadwal,8.0,2638.7,16.23,6
34,Jogulamba-Gadwal,9.0,2561.1,16.23,6
35,Kamareddy,10.0,2065.6,18.3205,7
36,Kamareddy,11.0,2044.2,18.3205,7
37,Kamareddy,7.0,2070.8,18.3205,7
38,Kamareddy,8.0,2065.2,18.3205,7
39,Kamareddy,9.0,2063.7,18.3205,7
40,Karimnagar,10.0,2081.0,18.4386,8
41,Karimnagar,11.0,2081.5,18.4386,8
